Pallet: "vesting", Extrinsic: "vest_other", Lowest values: [], Highest values: [], Steps: [10], Repeat: 100
b,l,extrinsic_time,storage_root_time
1,18,439000,70000
1,18,395000,72000
1,18,419000,71000
1,18,408000,76000
1,18,410000,74000
1,18,227000,73000
1,18,412000,72000
1,18,230000,73000
1,18,237000,72000
1,18,476000,77000
1,18,490000,83000
1,18,502000,90000
1,18,427000,85000
1,18,406000,75000
1,18,384000,70000
1,18,223000,69000
1,18,223000,70000
1,18,412000,78000
1,18,403000,72000
1,18,411000,73000
1,18,425000,75000
1,18,402000,71000
1,18,391000,76000
1,18,225000,74000
1,18,253000,80000
1,18,380000,69000
1,18,399000,76000
1,18,440000,73000
1,18,379000,73000
1,18,226000,71000
1,18,440000,72000
1,20,392000,70000
1,20,436000,75000
1,20,236000,77000
1,20,229000,72000
1,20,398000,71000
1,20,429000,72000
1,20,387000,72000
1,20,400000,81000
1,20,386000,82000
1,20,394000,76000
1,20,384000,78000
1,20,406000,76000
1,20,230000,76000
1,20,454000,73000
1,20,413000,75000
1,20,387000,72000
1,20,394000,73000
1,20,383000,76000
1,20,424000,75000
1,20,430000,76000
1,20,382000,74000
1,20,486000,82000
1,20,379000,75000
1,20,433000,73000
1,20,431000,77000
1,20,414000,74000
1,20,425000,80000
1,20,455000,80000
1,20,436000,80000
1,20,390000,78000
1,20,236000,72000
1,20,452000,73000
1,20,423000,76000
1,20,490000,86000
1,20,406000,74000
1,20,413000,71000
1,20,433000,73000
1,20,405000,76000
1,20,367000,73000
1,20,443000,72000
1,20,393000,70000
1,20,451000,75000
1,20,227000,72000
1,20,402000,71000
1,20,412000,75000
1,20,232000,74000
1,20,386000,77000
1,20,460000,73000
1,20,240000,68000
1,20,495000,80000
1,20,413000,72000
1,20,383000,74000
1,20,405000,73000
1,20,436000,73000
1,20,420000,71000
1,20,440000,79000
1,20,449000,77000
1,20,435000,76000
1,20,227000,72000
1,20,417000,71000
1,20,264000,80000
1,20,437000,71000
1,20,387000,69000
1,20,234000,76000
1,20,424000,82000
1,20,422000,71000
1,20,449000,73000
1,20,419000,74000
1,20,389000,74000
1,20,235000,72000
1,20,409000,71000
1,20,473000,73000
1,20,478000,80000
1,20,438000,72000
1,20,477000,75000
1,20,404000,74000
1,20,230000,72000
1,20,219000,68000
1,20,399000,74000
1,20,228000,74000
1,20,396000,76000
1,20,230000,71000
1,20,256000,76000
1,20,413000,85000
1,20,390000,77000
1,20,396000,76000
1,20,513000,86000
1,20,446000,76000
1,20,388000,70000
1,20,435000,77000
1,20,410000,75000
1,20,236000,73000
1,20,228000,72000
1,20,443000,76000
1,20,377000,76000
1,20,394000,71000
1,20,404000,74000
1,20,376000,71000
1,20,445000,86000
1,20,443000,78000
