Pallet: "elections", Extrinsic: "report_defunct_voter_correct", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
c,v,extrinsic_time,storage_root_time
62,16,313121,63294
62,16,313591,63202
62,16,312659,63222
62,16,310808,63561
62,16,310158,63376
62,16,310835,63224
62,16,311759,63461
62,16,342665,63651
62,16,311688,63211
62,16,312870,63538
63,16,313570,63015
63,16,312471,63782
63,16,312945,62704
63,16,306570,62932
63,16,311571,63203
63,16,311472,63244
63,16,314509,63331
63,16,312493,63356
63,16,312734,63337
63,16,313286,63322
63,16,313032,62507
63,16,312122,63457
63,16,313227,63135
63,16,313195,63007
63,16,312009,62965
63,16,315137,62981
63,16,312140,63201
63,16,312690,62871
63,16,312956,63123
63,16,312777,62709
64,16,308568,63742
64,16,314910,63139
64,16,314648,63261
64,16,313903,63430
64,16,315710,63154
64,16,315338,63398
64,16,315076,63465
64,16,315097,63135
64,16,314669,62825
64,16,308776,63147
64,16,315177,63219
64,16,314672,63032
64,16,314905,62777
64,16,315060,63268
64,16,314348,63182
64,16,315533,63521
64,16,314852,62553
64,16,315370,63153
64,16,314508,63486
64,16,316445,62706
65,16,316705,62507
65,16,316972,63868
65,16,318296,62676
65,16,316259,63847
65,16,317050,62957
65,16,317109,66211
65,16,315598,63480
65,16,315705,63738
65,16,316055,62797
65,16,316025,63259
65,16,319550,63019
65,16,316507,63255
65,16,316424,62733
65,16,315543,63030
65,16,316641,63095
65,16,317850,63503
65,16,316199,63096
65,16,316549,63239
65,16,317209,63187
65,16,318012,63904
66,16,317158,62631
66,16,321729,63222
66,16,317481,62960
66,16,318190,63033
66,16,318864,63336
66,16,317892,63014
66,16,312368,63012
66,16,321004,62945
66,16,316934,63401
66,16,317532,63698
66,16,318301,62929
66,16,317887,63614
66,16,318551,63063
66,16,321701,63539
66,16,317138,62547
66,16,319511,62558
66,16,318215,63532
66,16,319764,63085
66,16,317531,62589
66,16,321894,63442
67,16,320092,63422
67,16,319408,63297
